Years of Experience,Education Level,Salary Average
0.0,Bachelor's Degree,42756.7272727
0.5,Bachelor's Degree,35000.0
1.0,Bachelor's Degree,54069.7929936
1.5,Bachelor's Degree,31918.75
2.0,Bachelor's Degree,61574.4929577
3.0,Bachelor's Degree,74407.4689507
4.0,Bachelor's Degree,85296.804878
5.0,Bachelor's Degree,103856.8
6.0,Bachelor's Degree,96398.1964286
7.0,Bachelor's Degree,112126.605096
8.0,Bachelor's Degree,133738.515464
9.0,Bachelor's Degree,153528.912698
10.0,Bachelor's Degree,122523.807692
11.0,Bachelor's Degree,142403.843373
12.0,Bachelor's Degree,137779.821429
13.0,Bachelor's Degree,144454.73913
14.0,Bachelor's Degree,131555.933333
15.0,Bachelor's Degree,152777.777778
16.0,Bachelor's Degree,200329.981132
17.0,Bachelor's Degree,124599.0
18.0,Bachelor's Degree,148348.692308
19.0,Bachelor's Degree,143279.444444
20.0,Bachelor's Degree,143370.692308
21.0,Bachelor's Degree,177324.142857
22.0,Bachelor's Degree,165893.25
23.0,Bachelor's Degree,177172.0
24.0,Bachelor's Degree,172556.0
25.0,Bachelor's Degree,179819.0
27.0,Bachelor's Degree,183417.0
28.0,Bachelor's Degree,192960.8
29.0,Bachelor's Degree,191915.0
30.0,Bachelor's Degree,184670.5
