Age,Gender,Education Level,Job Title,Years of Experience,Salary
27,Male,,Developer,7,100000
32,Male,Bachelor's Degree,Software Engineer,5,90000
36,Female,Bachelor's Degree,Sales Associate,7,60000
29,Male,Bachelor's Degree,Marketing Analyst,2,55000
31,Male,Bachelor's Degree,Sales Manager,4,80000
26,Female,Bachelor's Degree,Marketing Coordinator,1,45000
48,Female,Bachelor's Degree,HR Manager,18,140000
35,Male,Bachelor's Degree,Financial Analyst,6,65000
27,Male,Bachelor's Degree,Customer Service Rep,2,40000
44,Male,Bachelor's Degree,Operations Manager,16,125000
25,Female,Bachelor's Degree,Data Entry Clerk,0,35000
51,Male,Bachelor's Degree,Sales Director,22,180000
30,Male,Bachelor's Degree,IT Support,2,50000
36,Female,Bachelor's Degree,Recruiter,9,60000
28,Female,Bachelor's Degree,Social Media Specialist,3,45000
24,Male,Bachelor's Degree,Junior Developer,1,40000
50,Male,Bachelor's Degree,CEO,25,250000
31,Female,Bachelor's Degree,Accountant,4,55000
39,Female,Bachelor's Degree,Marketing Specialist,10,65000
27,Male,Bachelor's Degree,Technical Writer,2,45000
35,Female,Bachelor's Degree,HR Generalist,7,60000
26,Female,Bachelor's Degree,Customer Success Rep,1,40000
49,Male,Bachelor's Degree,Sales Executive,21,160000
30,Male,Bachelor's Degree,Network Engineer,3,60000
36,Female,Bachelor's Degree,Administrative Assistant,8,45000
28,Female,Bachelor's Degree,Copywriter,2,40000
32,Male,Bachelor's Degree,Account Manager,5,75000
25,Male,Bachelor's Degree,Help Desk Analyst,0,35000
51,Female,Bachelor's Degree,Customer Service Manager,22,130000
40,Female,Bachelor's Degree,Event Coordinator,12,60000
29,Female,Bachelor's Degree,Graphic Designer,3,50000
36,Male,Bachelor's Degree,Sales Manager,9,95000
30,Female,Bachelor's Degree,Social Media Manager,4,55000
29,Male,Bachelor's Degree,Marketing Analyst,3,50000
40,Female,Bachelor's Degree,HR Manager,12,80000
26,Male,Bachelor's Degree,Junior Accountant,1,35000
46,Male,Bachelor's Degree,IT Manager,19,120000
31,Female,Bachelor's Degree,Customer Service Representative,5,45000
33,Male,Bachelor's Degree,Web Developer,6,65000
39,Female,Bachelor's Degree,Recruiter,11,70000
28,Male,Bachelor's Degree,Technical Support Specialist,2,40000
37,Male,Bachelor's Degree,Project Manager,10,95000
50,Female,Bachelor's Degree,Operations Manager,22,160000
30,Female,Bachelor's Degree,Content Marketing Manager,3,55000
36,Male,Bachelor's Degree,Technical Recruiter,8,70000
25,Male,Bachelor's Degree,Sales Representative,0,30000
29,Female,Bachelor's Degree,Junior Designer,2,40000
27,Male,Bachelor's Degree,Junior Account Manager,2,45000
40,Female,Bachelor's Degree,HR Generalist,15,80000
31,Female,Bachelor's Degree,Marketing Coordinator,6,55000
29,Female,Bachelor's Degree,Sales Associate,3,40000
43,Male,Bachelor's Degree,Supply Chain Manager,18,105000
33,Male,Bachelor's Degree,Business Analyst,7,75000
39,Female,Bachelor's Degree,Training Specialist,12,65000
26,Male,Bachelor's Degree,Junior Software Developer,1,35000
45,Male,Bachelor's Degree,Operations Analyst,20,110000
31,Female,Bachelor's Degree,Event Coordinator,5,45000
33,Male,Bachelor's Degree,Junior Web Developer,5,50000
30,Female,Bachelor's Degree,Digital Content Producer,3,50000
36,Male,Bachelor's Degree,IT Support Specialist,7,60000
28,Male,Bachelor's Degree,Customer Success Manager,2,40000
37,Male,Bachelor's Degree,Software Project Manager,9,95000
50,Female,Bachelor's Degree,Supply Chain Analyst,22,130000
23,Female,Bachelor's Degree,Junior Marketing Analyst,0.5,35000
40,Female,Bachelor's Degree,Office Manager,15,65000
29,Female,Bachelor's Degree,Junior HR Generalist,3,45000
42,Female,Bachelor's Degree,Sales Manager,17,100000
33,Female,Bachelor's Degree,Junior Operations Analyst,5,50000
38,Male,Bachelor's Degree,Customer Service Manager,11,80000
26,Male,Bachelor's Degree,Junior Accountant,2,40000
45,Male,Bachelor's Degree,Sales Operations Manager,18,110000
32,Female,Bachelor's Degree,Marketing Coordinator,4,50000
29,Male,Bachelor's Degree,Junior Web Designer,3,45000
27,Male,Bachelor's Degree,Junior Sales Representative,1,35000
39,Female,Bachelor's Degree,Administrative Assistant,10,55000
30,Female,Bachelor's Degree,Junior Marketing Manager,4,50000
36,Male,Bachelor's Degree,Junior Data Analyst,7,60000
28,Male,Bachelor's Degree,Junior Business Analyst,2,40000
33,Male,Bachelor's Degree,Junior Software Developer,5,50000
47,Male,Bachelor's Degree,Senior Sales Manager,20,135000
34,Male,Bachelor's Degree,Senior Business Analyst,8,90000
31,Male,Bachelor's Degree,Junior Project Manager,4,60000
38,Female,Bachelor's Degree,Senior Accountant,10,80000
29,Female,Bachelor's Degree,Junior Recruiter,3,45000
26,Male,Bachelor's Degree,Junior Customer Support Specialist,2,35000
44,Male,Bachelor's Degree,Senior IT Support Specialist,14,110000
32,Female,Bachelor's Degree,Junior Financial Analyst,5,50000
28,Male,Bachelor's Degree,Junior Software Engineer,2,40000
39,Female,Bachelor's Degree,Senior Sales Representative,12,90000
30,Female,Bachelor's Degree,Junior Copywriter,3,45000
35,Male,Bachelor's Degree,Senior Marketing Coordinator,7,80000
27,Male,Bachelor's Degree,Junior Business Development Associate,1.5,35000
40,Female,Bachelor's Degree,Senior Account Manager,14,110000
31,Female,Bachelor's Degree,Junior HR Coordinator,4,50000
29,Male,Bachelor's Degree,Junior Marketing Coordinator,2,40000
43,Male,Bachelor's Degree,Senior Project Manager,16,140000
35,Male,Bachelor's Degree,Senior Operations Analyst,7,85000
31,Male,Bachelor's Degree,Junior Accountant,4,50000
38,Female,Bachelor's Degree,Senior Human Resources Coordinator,10,80000
29,Female,Bachelor's Degree,Junior Sales Representative,2,40000
27,Male,Bachelor's Degree,Junior Product Manager,2,40000
36,Female,Bachelor's Degree,Senior Marketing Specialist,8,85000
43,Male,Bachelor's Degree,Senior IT Project Manager,14,130000
