Years of Experience,Education Level,Salary Average
0.0,Master's Degree,55538.0
1.0,Master's Degree,68064.516129
1.5,Master's Degree,45000.0
2.0,Master's Degree,63265.2054795
3.0,Master's Degree,75895.2929293
4.0,Master's Degree,83214.4125
5.0,Master's Degree,96727.9189189
6.0,Master's Degree,130908.188482
7.0,Master's Degree,113776.757353
8.0,Master's Degree,112427.547059
9.0,Master's Degree,130892.401914
10.0,Master's Degree,130460.54321
11.0,Master's Degree,160596.681818
12.0,Master's Degree,149297.978947
13.0,Master's Degree,141892.458824
14.0,Master's Degree,169330.843972
15.0,Master's Degree,152557.291667
16.0,Master's Degree,152263.85
17.0,Master's Degree,155358.285714
18.0,Master's Degree,171559.058824
19.0,Master's Degree,180091.982456
20.0,Master's Degree,189526.433333
21.0,Master's Degree,176960.666667
22.0,Master's Degree,182125.0
23.0,Master's Degree,183433.333333
24.0,Master's Degree,186565.714286
25.0,Master's Degree,179662.5
26.0,Master's Degree,184816.0
27.0,Master's Degree,188078.0
28.0,Master's Degree,189076.5
31.0,Master's Degree,193746.0
32.0,Master's Degree,195270.0
33.0,Master's Degree,188232.0
