Years of Experience,Education Level,Salary Average
0.0,PhD,52695.5
1.0,PhD,87055.125
2.0,PhD,115000.0
4.0,PhD,55000.0
5.0,PhD,117744.0
6.0,PhD,104854.869565
7.0,PhD,170789.473684
8.0,PhD,143559.322034
9.0,PhD,127711.111111
10.0,PhD,141457.627119
11.0,PhD,150864.197531
12.0,PhD,162238.132867
13.0,PhD,164298.39604
14.0,PhD,173350.515464
15.0,PhD,163431.03125
16.0,PhD,181611.301775
17.0,PhD,187350.515464
18.0,PhD,191477.65625
19.0,PhD,191260.218182
20.0,PhD,198333.333333
21.0,PhD,175864.636364
22.0,PhD,203469.44
23.0,PhD,199980.9375
24.0,PhD,236221.1
25.0,PhD,181714.0
26.0,PhD,188200.833333
27.0,PhD,188668.4
28.0,PhD,186327.0
29.0,PhD,192882.428571
30.0,PhD,152674.5
31.0,PhD,194586.0
32.0,PhD,191371.142857
33.0,PhD,185485.0
34.0,PhD,188651.0
