Years of Experience,Salary Average,Education Level
5.0,90000.0,Bachelor's Degree
7.0,60000.0,Bachelor's Degree
2.0,55000.0,Bachelor's Degree
4.0,80000.0,Bachelor's Degree
1.0,45000.0,Bachelor's Degree
18.0,140000.0,Bachelor's Degree
6.0,65000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
16.0,125000.0,Bachelor's Degree
0.0,35000.0,Bachelor's Degree
22.0,180000.0,Bachelor's Degree
2.0,50000.0,Bachelor's Degree
9.0,60000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
1.0,40000.0,Bachelor's Degree
25.0,250000.0,Bachelor's Degree
4.0,55000.0,Bachelor's Degree
10.0,65000.0,Bachelor's Degree
2.0,45000.0,Bachelor's Degree
7.0,60000.0,Bachelor's Degree
1.0,40000.0,Bachelor's Degree
21.0,160000.0,Bachelor's Degree
3.0,60000.0,Bachelor's Degree
8.0,45000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
5.0,75000.0,Bachelor's Degree
0.0,35000.0,Bachelor's Degree
22.0,130000.0,Bachelor's Degree
12.0,60000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
9.0,95000.0,Bachelor's Degree
4.0,55000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
12.0,80000.0,Bachelor's Degree
1.0,35000.0,Bachelor's Degree
19.0,120000.0,Bachelor's Degree
5.0,45000.0,Bachelor's Degree
6.0,65000.0,Bachelor's Degree
11.0,70000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
10.0,95000.0,Bachelor's Degree
22.0,160000.0,Bachelor's Degree
3.0,55000.0,Bachelor's Degree
8.0,70000.0,Bachelor's Degree
0.0,30000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
2.0,45000.0,Bachelor's Degree
15.0,80000.0,Bachelor's Degree
6.0,55000.0,Bachelor's Degree
3.0,40000.0,Bachelor's Degree
18.0,105000.0,Bachelor's Degree
7.0,75000.0,Bachelor's Degree
12.0,65000.0,Bachelor's Degree
1.0,35000.0,Bachelor's Degree
20.0,110000.0,Bachelor's Degree
5.0,45000.0,Bachelor's Degree
5.0,50000.0,Bachelor's Degree
3.0,50000.0,Bachelor's Degree
7.0,60000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
9.0,95000.0,Bachelor's Degree
22.0,130000.0,Bachelor's Degree
0.5,35000.0,Bachelor's Degree
15.0,65000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
17.0,100000.0,Bachelor's Degree
5.0,50000.0,Bachelor's Degree
11.0,80000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
18.0,110000.0,Bachelor's Degree
4.0,50000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
1.0,35000.0,Bachelor's Degree
10.0,55000.0,Bachelor's Degree
4.0,50000.0,Bachelor's Degree
7.0,60000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
5.0,50000.0,Bachelor's Degree
20.0,135000.0,Bachelor's Degree
8.0,90000.0,Bachelor's Degree
4.0,60000.0,Bachelor's Degree
10.0,80000.0,Bachelor's Degree
3.0,45000.0,Bachelor's Degree
2.0,35000.0,Bachelor's Degree
14.0,110000.0,Bachelor's Degree
5.0,50000.0,Bachelor's Degree
2.0,40000.0,Bachelor's Degree
