Years of Experience,Salary Average,Age Average
0.0,29680.2333333,23.2916666667
0.5,35000.0,23.0
1.0,46992.8462963,25.2111111111
1.5,36279.1666667,27.8333333333
2.0,58699.457377,26.5606557377
3.0,72944.4069767,27.7458471761
4.0,83332.0900383,28.7068965517
5.0,103111.092732,29.6591478697
6.0,111891.146119,31.1867881549
7.0,122108.232295,31.6997167139
8.0,126438.138824,33.4131455399
9.0,138021.460526,33.7078947368
10.0,131690.322917,35.6822916667
11.0,153060.31875,36.584375
12.0,153398.064626,37.7891156463
13.0,153002.181818,40.7177033493
14.0,168632.363636,41.2450592885
15.0,160664.75969,43.8992248062
16.0,183285.438017,43.7768595041
17.0,184053.830189,49.858490566
18.0,184340.412698,47.1904761905
19.0,182430.330579,47.2396694215
20.0,182288.721311,46.8360655738
21.0,176734.190476,46.5714285714
22.0,188644.531915,47.8510638298
23.0,189573.702703,48.5135135135
24.0,211225.421053,49.7894736842
25.0,177803.458333,50.5
26.0,187717.285714,51.2857142857
27.0,187922.636364,53.2727272727
28.0,189774.8125,53.5625
29.0,181437.0,53.5833333333
30.0,163339.833333,55.3333333333
31.0,183027.2,54.0
32.0,192540.8,54.0
33.0,186400.666667,58.0
34.0,188651.0,60.0
