Years of Experience,Salary Average,Education Level
3.0,65000.0,Master's Degree
20.0,200000.0,Master's Degree
12.0,120000.0,Master's Degree
3.0,75000.0,Master's Degree
14.0,130000.0,Master's Degree
7.0,90000.0,Master's Degree
5.0,80000.0,Master's Degree
19.0,190000.0,Master's Degree
13.0,140000.0,Master's Degree
11.0,110000.0,Master's Degree
6.0,90000.0,Master's Degree
3.0,75000.0,Master's Degree
14.0,115000.0,Master's Degree
5.0,80000.0,Master's Degree
18.0,190000.0,Master's Degree
13.0,130000.0,Master's Degree
16.0,180000.0,Master's Degree
7.0,85000.0,Master's Degree
19.0,200000.0,Master's Degree
2.0,65000.0,Master's Degree
7.0,105000.0,Master's Degree
23.0,170000.0,Master's Degree
10.0,90000.0,Master's Degree
8.0,90000.0,Master's Degree
18.0,150000.0,Master's Degree
14.0,120000.0,Master's Degree
6.0,100000.0,Master's Degree
20.0,180000.0,Master's Degree
13.0,80000.0,Master's Degree
10.0,95000.0,Master's Degree
21.0,135000.0,Master's Degree
25.0,170000.0,Master's Degree
10.0,90000.0,Master's Degree
8.0,95000.0,Master's Degree
19.0,150000.0,Master's Degree
13.0,80000.0,Master's Degree
14.0,100000.0,Master's Degree
15.0,110000.0,Master's Degree
6.0,90000.0,Master's Degree
6.0,95000.0,Master's Degree
10.0,120000.0,Master's Degree
25.0,180000.0,Master's Degree
9.0,95000.0,Master's Degree
8.0,105000.0,Master's Degree
21.0,160000.0,Master's Degree
12.0,100000.0,Master's Degree
19.0,140000.0,Master's Degree
14.0,120000.0,Master's Degree
13.0,110000.0,Master's Degree
1.5,40000.0,Master's Degree
19.0,175000.0,Master's Degree
11.0,120000.0,Master's Degree
9.0,95000.0,Master's Degree
7.0,115000.0,Master's Degree
21.0,175000.0,Master's Degree
13.0,120000.0,Master's Degree
9.0,105000.0,Master's Degree
20.0,180000.0,Master's Degree
1.5,45000.0,Master's Degree
20.0,170000.0,Master's Degree
9.0,105000.0,Master's Degree
6.0,95000.0,Master's Degree
19.0,170000.0,Master's Degree
13.0,120000.0,Master's Degree
9.0,110000.0,Master's Degree
21.0,180000.0,Master's Degree
1.5,45000.0,Master's Degree
20.0,170000.0,Master's Degree
9.0,110000.0,Master's Degree
6.0,100000.0,Master's Degree
19.0,170000.0,Master's Degree
13.0,140000.0,Master's Degree
9.0,120000.0,Master's Degree
21.0,190000.0,Master's Degree
1.5,50000.0,Master's Degree
16.0,140000.0,Master's Degree
21.0,180000.0,Master's Degree
20.0,170000.0,Master's Degree
9.0,110000.0,Master's Degree
6.0,100000.0,Master's Degree
15.0,140000.0,Master's Degree
20.0,180000.0,Master's Degree
21.0,180000.0,Master's Degree
19.0,170000.0,Master's Degree
14.0,140000.0,Master's Degree
20.0,180000.0,Master's Degree
21.0,180000.0,Master's Degree
19.0,170000.0,Master's Degree
6.0,80000.0,Master's Degree
16.0,160000.0,Master's Degree
21.0,180000.0,Master's Degree
19.0,170000.0,Master's Degree
18.0,170000.0,Master's Degree
19.0,180000.0,Master's Degree
21.0,180000.0,Master's Degree
19.0,170000.0,Master's Degree
18.0,170000.0,Master's Degree
19.0,170000.0,Master's Degree
6.0,160000.0,Master's Degree
2.0,120000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
2.0,120000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
2.0,120000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
2.0,120000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
2.0,120000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
1.0,100000.0,Master's Degree
3.0,130000.0,Master's Degree
6.0,180000.0,Master's Degree
9.0,195000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,175000.0,Master's Degree
9.0,195000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
12.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
6.0,180000.0,Master's Degree
11.0,198000.0,Master's Degree
4.0,150000.0,Master's Degree
7.0,180000.0,Master's Degree
10.0,195000.0,Master's Degree
11.0,196000.0,Master's Degree
6.0,180000.0,Master's Degree
